sample_1	sample_2	sample_3	sample_4	sample_5	sample_6	sample_7	sample_8	sample_9	sample_10	sample_11	sample_12	sample_13	sample_14	sample_15	sample_16	sample_17	sample_18	sample_19	sample_20	sample_21	sample_22	sample_23	sample_24	sample_25	sample_26	sample_27	sample_28	sample_29	sample_30	sample_31	sample_32	sample_33	sample_34	sample_35	sample_36	sample_37	sample_38	sample_39	sample_40	sample_41	sample_42	sample_43	sample_44	sample_45	sample_46	sample_47	sample_48	sample_49	sample_50	sample_51	sample_52	sample_53	sample_54	sample_55	sample_56	sample_57	sample_58	sample_59	sample_60	sample_61	sample_62	sample_63	sample_64	sample_65	sample_66	sample_67	sample_68	sample_69	sample_70	sample_71	sample_72	sample_73	sample_74	sample_75	sample_76	sample_77	sample_78	sample_79	sample_80	sample_81	sample_82	sample_83	sample_84	sample_85	sample_86	sample_87	sample_88	sample_89	sample_90	sample_91	sample_92	sample_93	sample_94	sample_95	sample_96	sample_97	sample_98	sample_99	sample_100	sample_101	sample_102	sample_103	sample_104	sample_105	sample_106	sample_107	sample_108	sample_109	sample_110	sample_111	sample_112	sample_113	sample_114	sample_115	sample_116	sample_117	sample_118	sample_119	sample_120	sample_121	sample_122	sample_123	sample_124	sample_125	sample_126	sample_127	sample_128	sample_129	sample_130	sample_131	sample_132	sample_133	sample_134	sample_135	sample_136	sample_137	sample_138	sample_139	sample_140
M4	35	NA	46.8	14	8.7	18.7	NA	18.2	8.4	36	47.4	45	40.9	26	70.6	NA	51.1	13.4	40.4	23.7	28.1	51.4	8	31	91.8	6	27.8	40.9	58.5	38.8	242.5	58.3	27.6	43.7	70.3	10.3	33.7	48.8	109.8	NA	50.1	8.7	13.8	8.2	72.7	35.5	55.9	NA	7.5	1.6	84.5	NA	11.2	57.1	30.4	NA	50.5	16.9	15.2	49.4	11	39.6	71.4	34.2	15.7	NA	109.4	NA	19.9	45.7	NA	0.6	26.6	136.3	26.3	90.5	141.8	16.6	173.9	16	2.1	33.1	79.9	25.4	19.5	37.7	79.8	57.4	40.4	144.8	29.9	NA	56.8	46.2	27.7	45.4	41.4	14.4	18.8	26.8	52.5	26	NA	24.8	39.9	36.8	100.5	7.8	37.2	56.7	203.6	39.9	17.3	51.3	15.5	35.9	32.7	32.6	49	22.4	0.1	19.4	1.8	39.7	86.4	32.8	35.3	73.9	7.3	24.9	38.3	6.4	53.8	128.4	38.4	38.1	91.9	18.7	20.9	28
M5	164.2	694.5	483.4	88.6	243.2	200.1	362.7	72.5	270.2	203.4	146.5	62.6	106.9	95.5	65.4	193.1	45	51.2	180.1	13.4	353.8	228.6	38.3	2014.7	551.7	305.5	253.3	152.6	187.8	221	170.1	227.2	160.4	211.3	43.7	32.4	168.4	119.6	267.5	493.5	81.3	25.8	180.1	30.9	67.3	196.5	354.6	67	22.3	110.2	368.4	31.3	25.5	77.2	182.9	45.2	425.8	520	229.3	237.7	2.7	64.6	452.3	167.2	107.2	365	510.8	47.4	NA	65	23.3	138.5	176.8	236.2	381.8	68.8	360.5	140.8	366.4	48.2	32.5	160.3	67.2	125.1	75.1	543.8	252.4	402.7	254.8	460	146	321.6	NA	92.7	514.2	218	175.3	1.3	35	174.4	170.1	53.9	65.2	35.2	2503	333.3	215.8	143.5	144.3	164	2143.1	54	52.2	165.6	72.8	256.6	304.7	156.4	77.5	150	117.8	79.2	160.3	131.9	153.5	94.4	168.4	67	822.9	53.8	167.7	56.7	44.6	324.6	58.9	174	732.1	40.8	17.4	166.6
M7	41	37.9	110.1	170.3	349.4	37.3	59.6	15.3	213.8	44.4	20.6	42.4	9.5	10.4	26.2	72.9	58	23.6	46.1	12.1	112.3	25.8	12.2	370.7	173.4	53.3	16.4	41.2	166.3	381.5	74	29.7	37.5	8	28.3	20.5	43.6	70.8	316.6	107.8	NA	10.5	63.8	NA	16.3	42.7	63	204.3	13.2	62.9	28.9	9.4	144.2	19.8	40.6	25.1	78.9	407.4	19.2	28	220.9	18.1	45.7	40.9	116.1	26.1	276.1	243.6	22.2	17.1	94.3	28	44.8	47.2	295.4	21.9	38.8	42.4	224.4	13.2	9.1	41.6	4.6	39.3	9.2	169.9	18	26.7	35	54.3	44.5	279.8	17.5	8.6	465	38.6	10.8	31	12.7	42.5	45.3	10.2	10.2	12.7	171.3	44	32.2	12.1	41	18.1	83.3	152.5	90	51.1	16.6	78.7	30.3	39.9	NA	59.7	50.8	13.8	42.3	22.5	31.4	16.3	39.3	16.7	52.8	38.3	NA	23.6	13.4	38.9	42.3	38.4	492.6	46.5	12.9	43.4
M8	46.5	125.7	85.1	23.9	61.1	243.7	51.3	37.1	65.6	48.6	64.4	68	62.7	26.4	81.2	30.7	70.5	27.9	49.9	47.2	73.3	207.4	18.8	80.1	112.9	69.2	36.8	50.8	53.6	43.6	72.2	118	85.9	52.3	99	25.3	49.2	81.7	81.6	204.4	66.1	9.3	68.1	12.9	50.4	47.1	103.2	41.5	40	65	121.9	19.5	9.3	21.8	49.8	22.3	111.8	137.8	66.5	121.1	26.9	62.9	161	48.3	21	117.8	126.2	17.8	55.8	49.3	15.3	54.6	44	266.6	40.6	44.1	57.7	37.2	129.8	40.7	17.3	45.1	49.6	41.2	33.4	73.4	71.4	35	73.9	126.1	43.8	23	22	47.7	55.1	61.4	49.7	78.5	54.5	43.2	118.4	48.7	49.9	17.3	98.3	26	67.4	26.7	46.4	16.5	525	281.1	26.7	59	51.2	37.5	76	43.2	114.2	77.6	37.9	66.2	17.8	53.6	89.2	20.9	47.3	22.4	99.8	51.8	90.6	21.5	34.3	162	62.3	46.3	95.1	25.9	12	47.4
M11	61.7	490.6	2441.2	140.7	48.7	103.7	58.1	54.1	92.9	59	38.5	100.7	58.2	215	73.7	21.5	161.9	58.2	96.1	446.6	NA	482.3	153.6	NA	105.1	113.2	25.8	81.6	5.7	73.6	413	77.3	55.5	36.8	295.6	0.7	82.9	97.9	59.4	163.8	482.9	20.6	562.4	27.7	174	94.7	111.3	68.3	29	66.8	NA	38.4	20.4	41.8	91.7	31.7	133.9	353.2	164.7	130.9	51	120.1	262.2	82.7	40.2	38.3	0.3	23.8	2.5	81.2	47	56.9	74.3	497	298.8	67.2	88.3	NA	238.9	118.6	33.7	82	76.3	264.8	58	NA	109.1	1688.2	45.1	273	74.6	36.2	180.1	20.8	205.1	64.1	29.4	NA	27.8	78.4	1018.4	57	24.1	343.5	142.5	307.9	124.6	23	97.9	911.7	2676.3	NA	36.6	122.6	306	29.6	4.5	85.7	107.9	113	158.4	210.4	74.7	217	185.1	607.3	87.2	24.2	782.8	139.1	553.1	35.8	134	112.7	23.2	80.9	194.7	50.7	21.7	55.5
M14	35.3	NA	29.3	62.9	77.8	52.3	34.6	30.3	61.9	28.4	42	45.5	123.6	19.1	95.8	NA	159.2	25.4	31.4	64.9	56.7	295.8	50.3	123.7	132.4	50.9	29.7	31	92.2	81.5	62.9	98.6	29.1	61.1	105.2	73.9	32	76.1	39.1	56.1	67.5	13.3	241.5	0.2	114.1	25.7	176.7	NA	102.6	67.3	251.1	11.7	22.5	36.9	32.5	24.9	44.8	196.8	33.3	102	28.3	73.2	112.8	31.5	23.8	84.7	61.2	37	117.2	31.6	26.7	79.7	30.1	184.8	45.3	69.4	20.4	19.6	133.3	84.3	18.6	36.8	51.1	41.2	34.6	54.2	77.4	50.6	34.4	194.2	28.3	35.2	4.9	54.2	34.5	90.9	60.2	50.4	42.3	28.2	69.8	43.3	61	56.4	83.7	39	100.8	36.7	30.8	0.5	306.8	70.8	21.5	61.5	39.4	44.1	81.8	29.3	19	94.3	71.9	437.6	17	57.2	145.2	40.6	29.4	42.9	86.4	85.5	140.2	28.8	27.8	133.9	39	27.9	166.7	26.3	12.9	30.4
M15	28.8	210.7	45.4	38.3	51	76.8	58.1	19.2	54.2	29.3	62.2	60.8	83.1	39.3	48.8	91.9	69.7	24.8	28.1	67.4	94.7	157	18.5	60.1	212.3	109.1	79	28.8	70.7	59.3	73.5	108	45	35.7	109.7	51.8	31.2	86.6	55	79.8	29.4	7.9	19.1	28.3	44.3	30.3	126.7	21.5	45.9	53.8	125.6	19.4	21.1	33.4	29.7	27.2	28.4	195.6	33.2	108.8	21.2	55.5	113.2	28.7	24	36.1	62.6	21.5	69.2	62.5	22.4	53.5	29.8	165.2	29.3	43.4	62.3	31.6	50	41.6	13	27.6	36.5	26.3	28.2	121.7	74	33.2	48.4	145.2	28.6	24	33.3	33.5	62.2	75.5	31.3	26.1	145.7	29.2	68	33.8	42.1	25.2	163.6	48.7	37.9	18.8	32	78.2	181.7	56.8	25.8	45.5	43.9	43.7	74.4	29.5	31.6	86.3	59.8	20	37.4	42	67.1	39.6	27.4	22	65.5	72.2	119.9	24.2	44.3	88	75.4	30.7	79.4	21	19.7	28.5
M25	21.4	28.3	35.1	26.6	58.9	29.1	57.7	6.6	39.6	26.2	16.4	14.2	15.9	5.1	13.5	16.1	25.8	5.3	14.3	17.1	30.3	42.8	0.8	76	47	27	17.9	19.8	21.2	64.7	26.2	25.4	24	11.4	14.8	12.5	18.5	23.4	55.6	90	21.4	6.8	11.8	13.8	11.5	15.9	51.5	40.9	12.6	12.3	21.2	7.7	14.5	9	23.8	6.6	51	71.8	8.8	25.2	16.3	14.1	22.7	21.8	9.2	11.9	49.6	11.2	12.6	0.4	11.8	16.1	24	52	32.1	17.7	9.7	1.4	34.4	8.3	5	14.8	20.9	32.3	23.9	52.9	20.8	38.4	1.1	43.1	18.2	31.2	54.9	13.5	52.7	23.1	10.2	17.8	6.6	22.7	37	11.6	8.5	6.4	53.5	20.8	15.7	3.9	18.2	12.9	59.9	30.5	14.1	26.7	17.1	29.4	24.3	21.7	4.4	17.4	22.3	11.3	18	20.2	31	16.2	19.5	11.9	44.9	9.4	18.3	9.5	11	16.8	15.4	19	171.8	13.6	8.2	27.2
M26	16.5	47.9	26.8	10.3	65.9	20.3	53.5	29.3	20.8	15.4	27.1	25	23.9	13.8	39.9	41.5	24.6	2	21	13.8	42.8	36	4.3	62.3	58	18.3	78.5	20.2	30.3	NA	29.5	7.2	27.6	13.8	47.6	4.1	23.4	31.1	NA	48.9	23.4	4.2	11.1	7.3	12.3	20.7	58.9	13.3	6.6	22.1	72.5	NA	8.3	16.2	19.1	7.5	24.8	374.6	12.7	70.1	50.9	24.8	24.7	21.2	8.8	23.7	52.8	5.7	15.1	NA	6.9	34.6	13.5	33.1	25.7	18.9	19.8	16.2	21.1	8.1	13.4	16.5	17.8	26.2	12.4	41.7	13.6	34.6	18.6	44.7	21.8	16.1	30.7	16.7	94.6	19	13.1	NA	23.3	17.2	19.8	47.2	6.2	10.2	59.9	35.1	27.3	6.7	17.3	7	62.8	22.3	31.6	16	26.2	10.1	22.2	16.7	21.2	21.1	36.6	10.3	NA	14.1	26.8	NA	14.1	31.7	23.6	17.8	17	10.8	NA	23.8	16.7	16	132.5	6.8	10.4	14.9
M31	18.9	1336.6	0.2	4.8	11.2	112	26.2	9.9	67.7	20.4	17.1	62.5	43.4	22.1	1.2	21.4	62.1	3.6	17.6	66.8	1017.3	233.2	13.2	142.6	101.7	135	3.9	19.2	14.1	25.9	68.6	18.5	20.1	23.4	89.6	25.1	18.7	91.8	49.3	112	13.6	19.6	86.9	17.8	50.2	17.8	49.3	52.1	12.2	32.6	NA	9.9	2.7	11.8	18.5	7.6	101.5	41.4	30.3	30.6	2.7	52.4	46.8	19.1	3.8	14.3	39.5	2.3	13.4	0.3	2.7	122.9	15.4	52.8	51.6	16	34.5	26.2	799.8	26.2	168.6	17.4	4.9	66.4	10.3	74.7	61	101.2	60.5	74	17.5	23.1	34.2	24.2	168.1	36.5	23.6	8.6	35.7	18.8	449.9	15.1	13.6	17.4	264.9	21.5	50	30.4	20.2	29.1	444.2	102.2	4.6	5.7	11	21.4	101.6	19.2	70.4	60.9	24.8	54.7	11.6	11	82.2	43.9	18.5	24.1	264	11.7	6.1	10.2	12	115.6	43.1	19	156.9	8.8	1.3	12.3
