Idx	SampleType	Class
sample_1	1	QC	QC
sample_2	2	Sample	GC
sample_3	3	Sample	BN
sample_4	4	Sample	HE
sample_5	5	Sample	GC
sample_6	6	Sample	BN
sample_7	7	Sample	GC
sample_8	8	Sample	HE
sample_9	9	Sample	GC
sample_10	10	QC	QC
sample_11	11	Sample	BN
sample_12	12	Sample	HE
sample_13	13	Sample	GC
sample_14	14	Sample	BN
sample_15	15	Sample	HE
sample_16	16	Sample	GC
sample_17	17	Sample	BN
sample_18	18	Sample	HE
sample_19	19	QC	QC
sample_20	20	Sample	GC
sample_21	21	Sample	BN
sample_22	22	Sample	HE
sample_23	23	Sample	GC
sample_24	24	Sample	BN
sample_25	25	Sample	HE
sample_26	26	Sample	GC
sample_27	27	Sample	BN
sample_28	28	QC	QC
sample_29	29	Sample	HE
sample_30	30	Sample	GC
sample_31	31	Sample	BN
sample_32	32	Sample	HE
sample_33	33	Sample	GC
sample_34	34	Sample	BN
sample_35	35	Sample	HE
sample_36	36	Sample	GC
sample_37	37	QC	QC
sample_38	38	Sample	BN
sample_39	39	Sample	HE
sample_40	40	Sample	GC
sample_41	41	Sample	BN
sample_42	42	Sample	HE
sample_43	43	Sample	GC
sample_44	44	Sample	BN
sample_45	45	Sample	HE
sample_46	46	QC	QC
sample_47	47	Sample	GC
sample_48	48	Sample	BN
sample_49	49	Sample	HE
sample_50	50	Sample	GC
sample_51	51	Sample	BN
sample_52	52	Sample	HE
sample_53	53	Sample	GC
sample_54	54	Sample	BN
sample_55	55	QC	QC
sample_56	56	Sample	HE
sample_57	57	Sample	GC
sample_58	58	Sample	GC
sample_59	59	Sample	BN
sample_60	60	Sample	HE
sample_61	61	Sample	GC
sample_62	62	Sample	BN
sample_63	63	Sample	HE
sample_64	64	QC	QC
sample_65	65	Sample	GC
sample_66	66	Sample	BN
sample_67	67	Sample	HE
sample_68	68	Sample	GC
sample_69	69	Sample	BN
sample_70	70	Sample	HE
sample_71	71	Sample	GC
sample_72	72	Sample	BN
sample_73	73	QC	QC
sample_74	74	Sample	HE
sample_75	75	Sample	GC
sample_76	76	Sample	BN
sample_77	77	Sample	HE
sample_78	78	Sample	GC
sample_79	79	Sample	BN
sample_80	80	Sample	HE
sample_81	81	Sample	GC
sample_82	82	QC	QC
sample_83	83	Sample	BN
sample_84	84	Sample	HE
sample_85	85	Sample	GC
sample_86	86	Sample	BN
sample_87	87	Sample	HE
sample_88	88	Sample	GC
sample_89	89	Sample	BN
sample_90	90	Sample	HE
sample_91	91	QC	QC
sample_92	92	Sample	GC
sample_93	93	Sample	BN
sample_94	94	Sample	HE
sample_95	95	Sample	GC
sample_96	96	Sample	BN
sample_97	97	Sample	HE
sample_98	98	Sample	GC
sample_99	99	Sample	BN
sample_100	100	QC	QC
sample_101	101	Sample	HE
sample_102	102	Sample	GC
sample_103	103	Sample	BN
sample_104	104	Sample	HE
sample_105	105	Sample	GC
sample_106	106	Sample	GC
sample_107	107	Sample	BN
sample_108	108	Sample	HE
sample_109	109	QC	QC
sample_110	110	Sample	GC
sample_111	111	Sample	BN
sample_112	112	Sample	HE
sample_113	113	Sample	GC
sample_114	114	Sample	BN
sample_115	115	Sample	HE
sample_116	116	Sample	GC
sample_117	117	Sample	BN
sample_118	118	QC	QC
sample_119	119	Sample	HE
sample_120	120	Sample	GC
sample_121	121	Sample	BN
sample_122	122	Sample	HE
sample_123	123	Sample	GC
sample_124	124	Sample	BN
sample_125	125	Sample	HE
sample_126	126	Sample	GC
sample_127	127	QC	QC
sample_128	128	Sample	BN
sample_129	129	Sample	HE
sample_130	130	Sample	GC
sample_131	131	Sample	BN
sample_132	132	Sample	HE
sample_133	133	Sample	GC
sample_134	134	Sample	BN
sample_135	135	Sample	HE
sample_136	136	QC	QC
sample_137	137	Sample	GC
sample_138	138	Sample	BN
sample_139	139	Sample	HE
sample_140	140	QC	QC
