Idx	Label	Perc_missing	QC_RSD
M4	4	1-Methylnicotinamide	8.57142857142857	12.8042008738419
M5	5	2-Aminoadipate	1.42857142857143	9.37266355735233
M7	7	2-Furoylglycine	2.85714285714286	5.04915562556207
M8	8	2-Hydroxyisobutyrate	0	5.13234006385694
M11	11	3-Aminoisobutyrate	5	15.4761649136304
M14	14	3-Hydroxyisobutyrate	2.14285714285714	8.90571085341042
M15	15	3-Hydroxyisovalerate	0	4.20083681066561
M25	25	6-Hydroxynicotinate	0	18.1490341883149
M26	26	ATP	5.71428571428571	16.4201497510561
M31	31	Adipate	0.714285714285714	10.475665966914
M32	32	Alanine	0	4.16327952324079
M33	33	Anserine	0	9.49971351958197
M36	36	Asparagine	9.28571428571429	7.35629680015826
M37	37	Azelate	0	10.5270026105767
M45	45	Citrate	0	6.2683318247799
M48	48	Creatinine	0	3.23499494857128
M50	50	Ethanol	1.42857142857143	18.8260788445098
M51	51	Ethanolamine	7.14285714285714	14.3585518548811
M65	65	Glycylproline	0	10.6115825535449
M66	66	Hippurate	0	2.43157137126769
M68	68	Histidine	2.85714285714286	16.1921649824113
M71	71	Ibuprofen	0	8.71508486022139
M73	73	Indole-3-lactate	0	6.07329505645181
M74	74	Isoleucine	5	13.2804518023977
M75	75	Lactate	0	14.8833988150265
M88	88	N-Acetylglutamine	0.714285714285714	5.65626339296861
M89	89	N-AcetylglutamineDerivative	0	4.06985188179461
M90	90	N-Acetylornithine	0	10.5427542371552
M91	91	N-Acetylserotonin	0.714285714285714	15.7041429053511
M93	93	N-Methylhydantoin	0	17.2939233224719
M101	101	Pantothenate	1.42857142857143	6.64822149110939
M104	104	Proline	0.714285714285714	9.36435242100871
M105	105	Propylene glycol	2.85714285714286	8.15506388476593
M106	106	Pyridoxine	0.714285714285714	15.9320417767385
M107	107	Pyroglutamate	0	11.9378472875586
M110	110	Serotonin	6.42857142857143	18.6256353495308
M115	115	Trigonelline	2.14285714285714	2.97573692676797
M116	116	Trimethylamine	0.714285714285714	13.0219623560134
M118	118	Tropate	0.714285714285714	12.5968651960161
M119	119	Tryptophan	0	13.9818037974324
M120	120	Tyrosine	3.57142857142857	12.0011423977921
M122	122	Valine	2.14285714285714	19.1464856672245
M126	126	trans-Aconitate	2.85714285714286	3.81350478775125
M129	129	u11	0	4.34862912988896
M130	130	u1125	7.14285714285714	5.35937655592283
M134	134	u144	1.42857142857143	15.5364012150061
M137	137	u217	2.85714285714286	5.00522096920462
M138	138	u233	0.714285714285714	4.73533373690427
M142	142	u43	0.714285714285714	7.15116605857213
M144	144	u87	0	6.63548612638398
M148	148	π-Methylhistidine	1.42857142857143	16.5619208190305
M149	149	τ-Methylhistidine	0	8.3518014361243
